0	0	5
0.25	0.992915	-14.4118
0.5	0.999935	54.9412
0.75	0.999999	-166.218
1	1	460.849
1.25	1	-1137.41
1.5	1	2584.3
1.75	1	-5463.68
2	1	10930.4
2.25	1	-20900
2.5	1	38559.8
2.75	1	-69095.2
3	1	120919
3.25	1	-207521
3.5	1	350439
3.75	1	-583820
4	1	961588
4.25	1	-1.56849e+06
4.5	1	2.53727e+06
4.75	1	-4.0751e+06
