0.58	0.999984	0.999992	0.999976	0.999986
0.585	0.999986	0.999993	0.999978	0.999987
0.59	0.999987	0.999993	0.99998	0.999988
0.595	0.999988	0.999994	0.999981	0.999989
0.6	0.999989	0.999994	0.999983	0.99999
0.605	0.99999	0.999995	0.999984	0.999991
0.61	0.999991	0.999995	0.999985	0.999991
0.615	0.999991	0.999996	0.999987	0.999992
0.62	0.999992	0.999996	0.999988	0.999993
0.625	0.999993	0.999996	0.999989	0.999993
0.63	0.999993	0.999997	0.99999	0.999994
0.635	0.999994	0.999997	0.99999	0.999994
0.64	0.999994	0.999997	0.999991	0.999995
0.645	0.999995	0.999997	0.999992	0.999995
0.65	0.999995	0.999998	0.999992	0.999996
0.655	0.999996	0.999998	0.999993	0.999996
0.66	0.999996	0.999998	0.999994	0.999996
0.665	0.999996	0.999998	0.999994	0.999997
0.67	0.999997	0.999998	0.999995	0.999997
0.675	0.999997	0.999999	0.999995	0.999997
0.68	0.999997	0.999999	0.999995	0.999997
0.685	0.999997	0.999999	0.999996	0.999998
0.69	0.999998	0.999999	0.999996	0.999998
0.695	0.999998	0.999999	0.999996	0.999998
0.7	0.999998	0.999999	0.999997	0.999998
0.705	0.999998	0.999999	0.999997	0.999998
0.71	0.999998	0.999999	0.999997	0.999998
0.715	0.999998	0.999999	0.999997	0.999999
0.72	0.999999	0.999999	0.999998	0.999999
0.725	0.999999	0.999999	0.999998	0.999999
0.73	0.999999	0.999999	0.999998	0.999999
0.735	0.999999	0.999999	0.999998	0.999999
0.74	0.999999	1	0.999998	0.999999
0.745	0.999999	1	0.999998	0.999999
0.75	0.999999	1	0.999998	0.999999
0.755	0.999999	1	0.999999	0.999999
0.76	0.999999	1	0.999999	0.999999
0.765	0.999999	1	0.999999	0.999999
0.77	0.999999	1	0.999999	0.999999
0.775	0.999999	1	0.999999	0.999999
0.78	0.999999	1	0.999999	1
0.785	0.999999	1	0.999999	1
0.79	1	1	0.999999	1
0.795	1	1	0.999999	1
0.8	1	1	0.999999	1
0.805	1	1	0.999999	1
0.81	1	1	0.999999	1
0.815	1	1	0.999999	1
0.82	1	1	0.999999	1
0.825	1	1	1	1
0.83	1	1	1	1
0.835	1	1	1	1
0.84	1	1	1	1
0.845	1	1	1	1
0.85	1	1	1	1
0.855	1	1	1	1
0.86	1	1	1	1
0.865	1	1	1	1
0.87	1	1	1	1
0.875	1	1	1	1
0.88	1	1	1	1
0.885	1	1	1	1
0.89	1	1	1	1
0.895	1	1	1	1
0.9	1	1	1	1
0.905	1	1	1	1
0.91	1	1	1	1
0.915	1	1	1	1
0.92	1	1	1	1
0.925	1	1	1	1
0.93	1	1	1	1
0.935	1	1	1	1
0.94	1	1	1	1
0.945	1	1	1	1
0.95	1	1	1	1
0.955	1	1	1	1
0.96	1	1	1	1
0.965	1	1	1	1
0.97	1	1	1	1
0.975	1	1	1	1
0.98	1	1	1	1
0.985	1	1	1	1
0.99	1	1	1	1
0.995	1	1	1	1
